Date,Net_Income,Depreciation,Change_in_Working_Capital,Capital_Expenditures,Investments,Operating_Cash_Flow,Free_Cash_Flow
2023-04-07,-430987,14274,-12340,16028,29728,-429053,-445081
2023-04-08,235579,4481,-14898,29433,-11658,225162,195729
2023-04-09,-291964,11890,6126,10343,-25013,-273948,-284291
2023-04-10,-176380,8303,-6450,6150,32396,-174527,-180677
2023-04-11,-272381,13597,-9148,10239,7062,-267932,-278171
2023-04-12,423798,10311,18442,11940,-37563,452551,440611
2023-04-13,-112286,2159,-8245,30884,-22689,-118372,-149256
2023-04-14,-136298,6830,2774,36594,19809,-126694,-163288
2023-04-15,197894,11195,-5408,14691,38641,203681,188990
2023-04-16,313130,4808,-13881,33078,18797,304057,270979
2023-04-17,92190,9285,-19026,15264,4379,82449,67185
2023-04-18,-216141,2728,14856,10936,10476,-198557,-209493
2023-04-19,254479,8726,2307,23928,20530,265512,241584
2023-04-20,176624,11647,-11834,11616,-21243,176437,164821
2023-04-21,-203367,4431,-13594,31251,-238,-212530,-243781
2023-04-22,271097,9048,2793,10085,17899,282938,272853
2023-04-23,-371000,6375,-7567,35587,29698,-372192,-407779
2023-04-24,-202088,10287,-1649,25756,-14640,-193450,-219206
2023-04-25,-351809,3618,12226,21553,75,-335965,-357518
2023-04-26,315778,13709,-4051,18634,15947,325436,306802
2023-04-27,167544,14186,3711,13465,-49129,185441,171976
2023-04-28,-32241,8723,-19746,9853,-7753,-43264,-53117
2023-04-29,142039,13225,13706,38471,-13342,168970,130499
2023-04-30,-89884,11787,5136,14946,32115,-72961,-87907
2023-05-01,-60141,4014,18624,28045,10934,-37503,-65548
2023-05-02,196599,11266,-12063,20663,-41716,195802,175139
2023-05-03,262387,11936,-4940,13940,15932,269383,255443
2023-05-04,264317,3840,6995,15532,-11821,275152,259620
2023-05-05,283515,10675,14419,5132,-43596,308609,303477
2023-05-06,417015,14730,-18412,8141,44900,413333,405192
2023-05-07,-164576,3809,12173,39223,-19865,-148594,-187817
2023-05-08,501992,8349,-16964,34811,-28548,493377,458566
2023-05-09,95131,10935,-8403,15301,9657,97663,82362
2023-05-10,-130850,11000,15953,22292,-38312,-103897,-126189
2023-05-11,-287535,4272,-2510,8352,5780,-285773,-294125
2023-05-12,40610,5112,18744,20005,-31688,64466,44461
2023-05-13,113141,10998,-17925,36842,40347,106214,69372
2023-05-14,489510,12283,-7847,32794,-9089,493946,461152
2023-05-15,52591,5923,-7092,36325,-6637,51422,15097
2023-05-16,375296,6429,-6467,22938,35782,375258,352320
2023-05-17,-81595,2677,-15688,20472,14758,-94606,-115078
2023-05-18,-374608,14534,9890,25707,20815,-350184,-375891
2023-05-19,262511,12607,8212,8104,-15324,283330,275226
2023-05-20,180311,4527,-18338,12205,-2884,166500,154295
2023-05-21,35650,8337,-7984,21278,-17831,36003,14725
2023-05-22,437349,5416,-8455,20888,-43192,434310,413422
2023-05-23,-248412,9487,-5025,39045,-14695,-243950,-282995
2023-05-24,80825,14079,11727,32144,27651,106631,74487
2023-05-25,-333440,11793,13330,28059,-27952,-308317,-336376
2023-05-26,-1371,2961,104,20211,38721,1694,-18517
2023-05-27,-423658,11667,-2194,32644,-32592,-414185,-446829
2023-05-28,117414,7294,7595,20862,-38369,132303,111441
2023-05-29,404441,8011,9777,24432,5609,422229,397797
2023-05-30,585854,10881,7825,36411,24552,604560,568149
2023-05-31,-171996,2959,17403,31429,-46493,-151634,-183063
2023-06-01,-139525,2338,15124,38965,-48516,-122063,-161028
2023-06-02,-344599,13062,-12401,15261,-36368,-343938,-359199
2023-06-03,-191614,5020,7600,25864,-40860,-178994,-204858
2023-06-04,-12004,9914,17452,31420,-39416,15362,-16058
2023-06-05,98853,12871,10323,32990,-12620,122047,89057
2023-06-06,240097,4577,7130,28534,39215,251804,223270
2023-06-07,-323786,9874,-10836,39178,-45083,-324748,-363926
2023-06-08,-89808,5779,6082,31913,-26026,-77947,-109860
2023-06-09,-204180,6201,9528,5980,16466,-188451,-194431
2023-06-10,22514,2630,439,37865,36040,25583,-12282
2023-06-11,-446858,2189,14561,21060,33639,-430108,-451168
2023-06-12,262707,10552,-9204,25660,-10258,264055,238395
2023-06-13,280790,12472,-13536,17400,30141,279726,262326
2023-06-14,-106343,9139,-7404,18496,-38195,-104608,-123104
2023-06-15,509617,4288,-10254,18616,16840,503651,485035
2023-06-16,-196539,2276,-12213,19796,35248,-206476,-226272
2023-06-17,69462,2886,6343,39770,28013,78691,38921
2023-06-18,-105522,7556,-15285,24361,-13531,-113251,-137612
2023-06-19,-168944,10824,3613,14585,21440,-154507,-169092
2023-06-20,571512,14650,524,15151,-3196,586686,571535
2023-06-21,201697,11459,-922,10245,46722,212234,201989
2023-06-22,240003,11137,19813,35077,44125,270953,235876
2023-06-23,-18282,13345,10369,35194,-42562,5432,-29762
2023-06-24,154806,3243,12884,11224,2801,170933,159709
2023-06-25,124482,4918,-5753,6963,-19061,123647,116684
2023-06-26,-175005,5856,-16933,9298,-49065,-186082,-195380
2023-06-27,-174984,7426,17023,22828,-8775,-150535,-173363
2023-06-28,-89180,9741,-3497,6672,-45675,-82936,-89608
2023-06-29,73795,9736,-15264,17364,-23408,68267,50903
2023-06-30,135172,11089,10045,32939,6348,156306,123367
2023-07-01,-267895,2558,5413,18248,-45270,-259924,-278172
2023-07-02,283242,4991,-19575,14433,-1225,268658,254225
2023-07-03,-154899,12251,10854,24601,-26437,-131794,-156395
2023-07-04,-55151,8190,-5913,37751,14613,-52874,-90625
2023-07-05,246383,10930,-1795,7855,-44922,255518,247663
2023-07-06,82681,2320,3547,19406,-41178,88548,69142
2023-07-07,33786,3639,-11550,33518,37668,25875,-7643
2023-07-08,-28423,12807,-3457,15127,-44372,-19073,-34200
2023-07-09,460667,3124,-13359,17672,-32535,450432,432760
2023-07-10,250756,12810,15549,29441,-47551,279115,249674
2023-07-11,344657,9288,2664,18177,5678,356609,338432
2023-07-12,-58208,2432,12599,6495,-43039,-43177,-49672
2023-07-13,193219,4935,-24,25619,34729,198130,172511
2023-07-14,276104,3997,-640,18249,-11309,279461,261212
2023-07-15,-76345,2474,12128,11080,18784,-61743,-72823
2023-07-16,45251,6923,-3005,31628,-42201,49169,17541
2023-07-17,557727,5105,4892,18181,42994,567724,549543
2023-07-18,-148923,10987,7340,36044,46593,-130596,-166640
2023-07-19,77789,10392,17410,24046,-7146,105591,81545
2023-07-20,292829,3593,15543,13956,49889,311965,298009
2023-07-21,52619,3914,18641,35074,-26871,75174,40100
2023-07-22,-204615,8705,530,11523,-44298,-195380,-206903
2023-07-23,199638,6514,13396,23666,23292,219548,195882
2023-07-24,-369257,13791,19931,11938,-26752,-335535,-347473
2023-07-25,246270,4354,17982,12103,-10549,268606,256503
2023-07-26,501677,12685,-476,5802,9403,513886,508084
2023-07-27,245042,12643,11230,19368,37460,268915,249547
2023-07-28,332812,10532,9095,26765,-20529,352439,325674
2023-07-29,-507998,14382,13428,35706,-7228,-480188,-515894
2023-07-30,124200,4345,-19583,33754,-44364,108962,75208
2023-07-31,-120204,14807,-10758,22441,-22408,-116155,-138596
2023-08-01,-352497,7807,6050,33522,18182,-338640,-372162
2023-08-02,-278664,5366,-949,6469,-21121,-274247,-280716
2023-08-03,-30321,11329,-2734,29656,-38352,-21726,-51382
2023-08-04,-289336,4822,-13521,26315,-10378,-298035,-324350
2023-08-05,19813,4072,16418,6126,2519,40303,34177
2023-08-06,110712,4603,5803,10367,45054,121118,110751
2023-08-07,176702,4013,-14767,23609,28634,165948,142339
2023-08-08,-419355,2566,-1816,30412,-20224,-418605,-449017
2023-08-09,-226236,5168,-7263,15089,-17554,-228331,-243420
2023-08-10,-154123,6081,-379,15744,-48950,-148421,-164165
2023-08-11,70474,3235,-19573,14690,39948,54136,39446
2023-08-12,-195217,5866,14510,22460,41560,-174841,-197301
2023-08-13,510946,8324,-18001,13238,18674,501269,488031
2023-08-14,-70296,12541,10808,22280,-12835,-46947,-69227
2023-08-15,-199022,11194,13905,25928,21931,-173923,-199851
2023-08-16,-332900,8727,2830,5823,-24056,-321343,-327166
2023-08-17,-416849,12351,-6430,37846,40708,-410928,-448774
2023-08-18,-100459,10592,9537,19860,-40220,-80330,-100190
2023-08-19,-10889,11405,-14585,31120,12276,-14069,-45189
2023-08-20,-459837,11568,8509,22897,42730,-439760,-462657
2023-08-21,-96333,13834,-16301,32334,-34115,-98800,-131134
2023-08-22,-240126,3133,7477,30289,-9749,-229516,-259805
2023-08-23,-427853,11496,-7458,12167,34862,-423815,-435982
2023-08-24,211958,9322,9404,20433,-22907,230684,210251
2023-08-25,359002,6465,7633,23735,23768,373100,349365
2023-08-26,-6622,9157,-8710,21726,35229,-6175,-27901
2023-08-27,390337,9271,1012,31108,31954,400620,369512
2023-08-28,77483,12217,5453,11571,9725,95153,83582
2023-08-29,192300,5470,-19008,39248,14831,178762,139514
2023-08-30,30024,13635,18554,39038,8142,62213,23175
2023-08-31,-30545,2517,3999,30988,41852,-24029,-55017
2023-09-01,179231,13190,-522,23494,43989,191899,168405
2023-09-02,293505,12845,11532,30353,-26937,317882,287529
2023-09-03,4768,6332,13134,15181,-39751,24234,9053
2023-09-04,408948,4023,12984,11360,-3029,425955,414595
2023-09-05,-124505,3880,-4853,7319,-35771,-125478,-132797
2023-09-06,-144603,2493,-2977,32308,-43608,-145087,-177395
2023-09-07,68760,11427,5356,15327,-22766,85543,70216
2023-09-08,-194208,14146,18247,34862,-46353,-161815,-196677
2023-09-09,47604,3274,-8336,5010,-37487,42542,37532
2023-09-10,240196,7443,-9098,9853,46134,238541,228688
2023-09-11,78874,2156,17562,25710,2016,98592,72882
2023-09-12,207559,4394,12101,39473,-19772,224054,184581
2023-09-13,362561,6155,-13098,37512,-1835,355618,318106
2023-09-14,631955,14696,6070,37339,-39625,652721,615382
2023-09-15,-112014,14146,-1603,23978,3074,-99471,-123449
2023-09-16,-20277,9517,-16016,23558,23050,-26776,-50334
2023-09-17,601177,13312,1794,8229,15363,616283,608054
2023-09-18,173464,12814,-5329,5816,46950,180949,175133
2023-09-19,-185920,12670,5230,23232,35468,-168020,-191252
2023-09-20,-315803,5628,-18230,32472,-22043,-328405,-360877
2023-09-21,338209,9524,18164,10456,-3293,365897,355441
2023-09-22,-240009,6634,-7612,34666,-38689,-240987,-275653
2023-09-23,-354863,8162,-1226,34917,-45675,-347927,-382844
2023-09-24,89266,13709,5692,5535,-12011,108667,103132
2023-09-25,96151,6982,15509,17056,-42363,118642,101586
2023-09-26,-394499,13616,6458,7945,-42245,-374425,-382370
2023-09-27,-387228,4147,11358,35827,10038,-371723,-407550
2023-09-28,-339931,9001,1980,5514,38556,-328950,-334464
2023-09-29,266552,4568,9966,39416,-39858,281086,241670
2023-09-30,444557,6626,-14669,21565,49713,436514,414949
2023-10-01,-248722,12246,11946,16694,-12803,-224530,-241224
2023-10-02,260372,11938,4620,30831,-38877,276930,246099
2023-10-03,-50565,9080,-16793,33471,-48304,-58278,-91749
2023-10-04,-317352,5859,11825,38839,1500,-299668,-338507
2023-10-05,342257,4541,-17651,10658,-41872,329147,318489
2023-10-06,-110163,8038,6893,23615,14783,-95232,-118847
2023-10-07,53143,8933,-12952,15268,13304,49124,33856
2023-10-08,82888,4807,10135,29497,27296,97830,68333
2023-10-09,-486867,5705,-12053,15734,24382,-493215,-508949
2023-10-10,-41384,10424,9970,21664,23327,-20990,-42654
2023-10-11,80958,5168,2930,37408,48876,89056,51648
2023-10-12,44843,14925,-12423,18161,-5913,47345,29184
2023-10-13,-463375,5536,-5180,7167,-44053,-463019,-470186
2023-10-14,465382,10435,2861,17903,34241,478678,460775
2023-10-15,-64588,3647,19130,5167,30837,-41811,-46978
2023-10-16,-501282,7343,3168,27621,-32681,-490771,-518392
2023-10-17,166354,14948,14265,25918,19719,195567,169649
2023-10-18,133999,3653,-15644,39449,-45237,122008,82559
2023-10-19,9128,13644,-18796,6026,792,3976,-2050
2023-10-20,-204359,14956,17635,9494,-16528,-171768,-181262
2023-10-21,369242,10677,8214,23427,-49935,388133,364706
2023-10-22,554247,5439,14250,10919,43001,573936,563017
2023-10-23,-74575,12565,-5405,33094,-36053,-67415,-100509
2023-10-24,-337265,2103,-10485,39505,-26738,-345647,-385152
2023-10-25,52216,3164,17687,33626,-625,73067,39441
2023-10-26,-346929,7956,-2097,38577,-24288,-341070,-379647
2023-10-27,184018,14926,13568,31863,19753,212512,180649
2023-10-28,139699,6607,11218,28071,-18099,157524,129453
2023-10-29,149610,2450,-9575,8573,2111,142485,133912
2023-10-30,-173074,6541,-19303,5073,9794,-185836,-190909
2023-10-31,256748,4662,-12630,27081,-5111,248780,221699
2023-11-01,83479,9407,-19468,15240,-46815,73418,58178
2023-11-02,-177100,4638,9077,8150,-36248,-163385,-171535
2023-11-03,17821,4751,-6054,13612,-40903,16518,2906
2023-11-04,-192462,7682,4856,16394,445,-179924,-196318
2023-11-05,461295,3649,14367,37407,10756,479311,441904
2023-11-06,12805,14456,-15370,5931,-841,11891,5960
2023-11-07,-65462,3340,7176,8429,25955,-54946,-63375
2023-11-08,-339697,12786,13053,23939,-12997,-313858,-337797
2023-11-09,285791,6713,-7166,28639,10619,285338,256699
2023-11-10,55904,4518,-12849,32568,-30484,47573,15005
2023-11-11,166307,4866,18718,5928,-3787,189891,183963
2023-11-12,-374092,3593,342,36350,-3574,-370157,-406507
2023-11-13,191447,14724,71,30852,11338,206242,175390
2023-11-14,-58922,9784,18043,37582,-39387,-31095,-68677
2023-11-15,223239,8957,4051,24157,-34585,236247,212090
2023-11-16,121193,5368,17396,15499,6704,143957,128458
2023-11-17,381917,2930,-5641,31591,37648,379206,347615
2023-11-18,-3400,7826,14773,33685,-17088,19199,-14486
2023-11-19,258193,12756,-5329,10017,-4013,265620,255603
2023-11-20,-43075,9416,1467,19614,38999,-32192,-51806
2023-11-21,434202,9715,14737,35640,-32246,458654,423014
2023-11-22,-194684,6702,-7370,33603,48422,-195352,-228955
2023-11-23,354295,3879,5195,13266,43362,363369,350103
2023-11-24,-97090,2909,16629,23885,-47603,-77552,-101437
2023-11-25,347426,4380,2072,12388,3021,353878,341490
2023-11-26,406170,6472,1026,13428,34374,413668,400240
2023-11-27,-451663,11957,-19481,17375,-26186,-459187,-476562
2023-11-28,322613,6815,-3537,22139,-2572,325891,303752
2023-11-29,-100708,6275,-7910,30159,-5472,-102343,-132502
2023-11-30,-147863,3182,17974,26652,8550,-126707,-153359
2023-12-01,421149,13779,276,6822,34275,435204,428382
2023-12-02,267826,5226,-18915,10293,-13655,254137,243844
2023-12-03,430972,2282,15310,35312,16221,448564,413252
2023-12-04,199652,9032,4815,30657,-12384,213499,182842
2023-12-05,-40992,12005,11309,26274,-4097,-17678,-43952
2023-12-06,17842,11797,16894,13075,23053,46533,33458
2023-12-07,348189,3427,17497,39086,-44481,369113,330027
2023-12-08,-69869,3688,-9082,19158,17142,-75263,-94421
2023-12-09,77021,7824,-5136,27257,2086,79709,52452
2023-12-10,-405788,14968,8880,7691,5787,-381940,-389631
2023-12-11,27988,9909,-19942,35766,-21170,17955,-17811
2023-12-12,-126673,3026,7137,20897,38578,-116510,-137407
2023-12-13,-25465,3494,-1162,20983,39696,-23133,-44116
2023-12-14,404895,8395,13523,9125,46579,426813,417688
2023-12-15,341741,5341,1536,37934,20304,348618,310684
2023-12-16,-157280,5557,18102,12207,1905,-133621,-145828
2023-12-17,94978,5393,-13519,27773,38732,86852,59079
2023-12-18,11884,5713,1214,24108,-6821,18811,-5297
2023-12-19,-195529,14813,-15302,31694,49248,-196018,-227712
2023-12-20,110770,5586,15128,17171,17699,131484,114313
2023-12-21,-70711,11492,-4797,15700,-15571,-64016,-79716
2023-12-22,144150,14363,11995,32336,-20600,170508,138172
2023-12-23,6136,10080,-16691,34522,47946,-475,-34997
2023-12-24,61867,14464,-14039,13735,-47449,62292,48557
2023-12-25,116153,7628,18661,30413,6387,142442,112029
2023-12-26,328994,11229,-5480,20778,-19843,334743,313965
2023-12-27,403550,6179,-8881,34192,22680,400848,366656
2023-12-28,-429253,8957,-6228,27678,24379,-426524,-454202
2023-12-29,-282740,3232,3417,19925,-9878,-276091,-296016
2023-12-30,110264,5508,-12895,16959,775,102877,85918
2023-12-31,-45365,4374,-17195,6946,38066,-58186,-65132
2024-01-01,-284208,6217,-6784,32366,42493,-284775,-317141
2024-01-02,153917,2351,10520,29936,-30138,166788,136852
2024-01-03,11659,7675,1625,10716,-49050,20959,10243
2024-01-04,-202233,2092,7299,34110,-9006,-192842,-226952
2024-01-05,258715,3758,-2765,29289,34908,259708,230419
2024-01-06,15020,11793,-118,14144,-47529,26695,12551
2024-01-07,-114235,6985,9201,23541,11607,-98049,-121590
2024-01-08,127862,9925,-11750,28839,46432,126037,97198
2024-01-09,66117,13386,-17119,36716,-3644,62384,25668
2024-01-10,-88875,10036,-15868,39791,-31223,-94707,-134498
2024-01-11,374731,7517,-236,25896,25564,382012,356116
2024-01-12,444699,2174,8468,36730,32757,455341,418611
2024-01-13,-135163,11884,-9656,33946,26299,-132935,-166881
2024-01-14,43550,11474,-16976,23940,-42046,38048,14108
2024-01-15,170764,6069,9752,19212,-716,186585,167373
2024-01-16,-350044,4102,14996,28521,32940,-330946,-359467
2024-01-17,268214,14355,11341,39746,4689,293910,254164
2024-01-18,327364,7994,16624,27703,-41045,351982,324279
2024-01-19,470903,5488,-15762,10663,47860,460629,449966
2024-01-20,500904,8176,-12544,38566,-37820,496536,457970
2024-01-21,143495,13707,2161,24597,46973,159363,134766
2024-01-22,134964,11825,-1478,14573,-7894,145311,130738
2024-01-23,153405,12892,-1598,9888,-10323,164699,154811
2024-01-24,-56864,9374,13041,31553,42437,-34449,-66002
2024-01-25,148233,4163,19374,26734,12321,171770,145036
2024-01-26,110736,3915,3164,13382,-33608,117815,104433
2024-01-27,-22333,4701,-5828,34070,-10192,-23460,-57530
2024-01-28,13176,6227,-14176,28495,36768,5227,-23268
2024-01-29,-9917,14317,-5500,8620,-30695,-1100,-9720
2024-01-30,-186586,3960,16144,30511,37045,-166482,-196993
2024-01-31,-126076,8227,949,22024,-2853,-116900,-138924
2024-02-01,-327530,9827,-13630,20231,23315,-331333,-351564
2024-02-02,140262,5740,19547,6254,10479,165549,159295
2024-02-03,251947,8417,-9756,30856,20028,250608,219752
2024-02-04,-35168,9551,-14340,39781,-20548,-39957,-79738
2024-02-05,83170,12471,6008,25257,-49920,101649,76392
2024-02-06,-52378,13676,6154,28983,-10055,-32548,-61531
2024-02-07,227316,7630,1194,36515,-25138,236140,199625
2024-02-08,247503,14346,-19313,20323,-23121,242536,222213
2024-02-09,76242,2699,-10463,32541,6438,68478,35937
2024-02-10,232091,7011,13923,38123,31011,253025,214902
2024-02-11,123291,2738,-2773,36110,-35492,123256,87146
2024-02-12,64781,13122,-13208,35638,18462,64695,29057
2024-02-13,-312623,3215,-1555,26887,5465,-310963,-337850
2024-02-14,-271850,3190,-15173,30691,48106,-283833,-314524
2024-02-15,-26164,4105,-1393,21376,32520,-23452,-44828
2024-02-16,160443,14916,17600,20446,18894,192959,172513
2024-02-17,232853,14444,-14099,34759,2739,233198,198439
2024-02-18,-96256,10694,11081,7607,11818,-74481,-82088
2024-02-19,447291,3144,-9397,19772,28050,441038,421266
2024-02-20,392425,2681,8756,14983,40990,403862,388879
2024-02-21,166965,14890,-17356,22033,-854,164499,142466
2024-02-22,243186,6159,-5842,35563,27164,243503,207940
2024-02-23,-24450,8810,-10653,23837,45579,-26293,-50130
2024-02-24,267861,12620,13850,30309,-47649,294331,264022
2024-02-25,250744,7643,18462,14333,-8517,276849,262516
2024-02-26,-287752,3431,4778,11812,-40115,-279543,-291355
2024-02-27,-177343,5945,13483,26329,-9578,-157915,-184244
2024-02-28,113338,10589,-7350,25248,15591,116577,91329
2024-02-29,-65810,2771,-16457,27250,-12411,-79496,-106746
2024-03-01,-481423,14813,6948,16974,-4354,-459662,-476636
2024-03-02,-141986,10528,17353,30494,19438,-114105,-144599
2024-03-03,135360,3302,16047,29885,-16771,154709,124824
2024-03-04,-298204,12949,-10201,19580,31580,-295456,-315036
2024-03-05,654196,11755,6762,22806,-3635,672713,649907
2024-03-06,12442,8081,-16536,11110,-38574,3987,-7123
2024-03-07,397261,6877,-6941,22038,-37900,397197,375159
2024-03-08,406022,3962,-19660,5937,10323,390324,384387
2024-03-09,80021,7556,9433,29508,-25246,97010,67502
2024-03-10,438276,4227,-11034,16807,-30944,431469,414662
2024-03-11,-6528,9895,-3293,7654,-24235,74,-7580
2024-03-12,-101385,2590,4846,8574,-18672,-93949,-102523
2024-03-13,305354,2486,13429,35858,-4671,321269,285411
2024-03-14,-490731,9347,4540,13396,27465,-476844,-490240
2024-03-15,-11684,2333,8461,34492,-16719,-890,-35382
2024-03-16,103759,9597,-7702,36148,-34209,105654,69506
2024-03-17,79167,9728,3840,13482,47040,92735,79253
2024-03-18,31033,6615,4721,12124,24545,42369,30245
2024-03-19,231678,10360,-8256,36988,1293,233782,196794
2024-03-20,355948,13684,12309,31498,34945,381941,350443
2024-03-21,1303,3834,-3824,32433,-11076,1313,-31120
2024-03-22,-331547,12970,-1172,15290,-19724,-319749,-335039
2024-03-23,-209180,2748,-19698,19597,39569,-226130,-245727
2024-03-24,-80513,7658,-13695,30495,-21982,-86550,-117045
2024-03-25,182205,12230,16174,30860,9766,210609,179749
2024-03-26,-345098,8950,15726,13114,42975,-320422,-333536
2024-03-27,83301,13211,-8763,11728,-5027,87749,76021
2024-03-28,56999,10758,-2546,14369,43406,65211,50842
2024-03-29,35620,2665,8306,9809,-41940,46591,36782
2024-03-30,461471,4333,11108,14168,-26051,476912,462744
2024-03-31,290627,13069,11586,13483,47002,315282,301799
2024-04-01,-223000,13569,-16758,33580,20162,-226189,-259769
2024-04-02,278470,3274,18312,7028,21432,300056,293028
2024-04-03,3193,5346,-5767,33050,-3352,2772,-30278
2024-04-04,-202696,9002,8219,33639,-26584,-185475,-219114
2024-04-05,244897,7558,2977,26202,21328,255432,229230
2024-04-06,-198954,11375,-1335,19279,-32826,-188914,-208193
2024-04-07,133923,2182,3988,39075,-37480,140093,101018
2024-04-08,121407,9637,-7632,10115,-2934,123412,113297
2024-04-09,19553,5650,-18102,36176,171,7101,-29075
2024-04-10,123213,2677,-15184,17664,-8359,110706,93042
2024-04-11,124748,3939,8238,22440,-40999,136925,114485
2024-04-12,143247,11773,-9524,29898,-44313,145496,115598
2024-04-13,-150125,11651,-18153,28676,-31374,-156627,-185303
2024-04-14,-213757,2342,2458,25529,-41936,-208957,-234486
2024-04-15,-210972,11299,-7675,15402,-11108,-207348,-222750
2024-04-16,-163441,7178,1311,32636,17125,-154952,-187588
2024-04-17,78784,11541,-12665,13613,4118,77660,64047
2024-04-18,421289,4296,2338,39936,36058,427923,387987
2024-04-19,41787,3262,-16748,14726,-16582,28301,13575
2024-04-20,-52115,5486,-14258,29630,8255,-60887,-90517
2024-04-21,363450,6210,1431,20094,25476,371091,350997
2024-04-22,-226083,8259,12957,10070,21818,-204867,-214937
2024-04-23,131294,9349,-13493,35832,-213,127150,91318
2024-04-24,381975,5393,-18608,29576,-9848,368760,339184
2024-04-25,-92859,2308,-16665,7009,-34234,-107216,-114225
2024-04-26,186753,2858,-6282,36993,-15056,183329,146336
2024-04-27,-48376,9792,5034,26459,45569,-33550,-60009
2024-04-28,-149582,2085,13901,22642,-10624,-133596,-156238
2024-04-29,147515,12297,-19268,11589,14966,140544,128955
2024-04-30,-97316,5370,396,36625,-33093,-91550,-128175
2024-05-01,506127,13008,-14861,37607,27356,504274,466667
2024-05-02,-19631,14635,-10489,37558,8653,-15485,-53043
2024-05-03,-322290,2661,829,37881,-41092,-318800,-356681
2024-05-04,-115641,14639,1678,14677,285,-99324,-114001
2024-05-05,-432777,10577,11072,28841,14770,-411128,-439969
2024-05-06,480692,14874,-18546,23170,42534,477020,453850
2024-05-07,-107105,14930,17814,6047,15547,-74361,-80408
2024-05-08,104855,3752,-18490,26642,9099,90117,63475
2024-05-09,32869,11870,13717,38581,-3308,58456,19875
2024-05-10,465148,13900,310,14668,-5189,479358,464690
2024-05-11,-117628,5017,-19105,11663,-32887,-131716,-143379
2024-05-12,278344,7894,788,7482,-31772,287026,279544
2024-05-13,-182567,10428,16530,32511,-1979,-155609,-188120
2024-05-14,193931,7082,-1380,20737,-6304,199633,178896
2024-05-15,-63647,4372,4805,18372,-3004,-54470,-72842
2024-05-16,398202,8395,577,32982,44801,407174,374192
2024-05-17,252058,12956,-16839,21869,3441,248175,226306
2024-05-18,345125,14456,12094,14568,21296,371675,357107
2024-05-19,-415713,13930,-4152,32035,-29859,-405935,-437970
2024-05-20,99716,9168,15508,26836,49930,124392,97556
2024-05-21,-378007,8785,10790,20263,-23927,-358432,-378695
2024-05-22,-94786,8740,2515,18167,-12263,-83531,-101698
2024-05-23,640946,14924,8241,5866,9363,664111,658245
2024-05-24,145486,10399,8611,20626,28909,164496,143870
2024-05-25,212065,5294,19435,37094,-37509,236794,199700
2024-05-26,139923,12829,-19256,15657,-1376,133496,117839
2024-05-27,211227,7255,-18731,18534,47766,199751,181217
2024-05-28,297014,13173,16974,23140,46429,327161,304021
2024-05-29,289802,4891,-4758,24233,30327,289935,265702
2024-05-30,256920,3140,10991,12099,24049,271051,258952
2024-05-31,-265655,13768,-13921,16965,37100,-265808,-282773
2024-06-01,80381,12775,-4788,16512,48959,88368,71856
2024-06-02,515404,6857,17293,23682,-13950,539554,515872
2024-06-03,518574,10209,-462,6122,41200,528321,522199
2024-06-04,202490,7428,-2145,32229,18745,207773,175544
2024-06-05,-287397,14027,5525,27667,5599,-267845,-295512
2024-06-06,216595,7992,19809,31164,-13401,244396,213232
2024-06-07,271415,12815,2951,10460,-23353,287181,276721
2024-06-08,-403084,9413,11512,29317,-30230,-382159,-411476
2024-06-09,-289164,14983,16848,34467,3743,-257333,-291800
2024-06-10,-348479,2705,-9116,32424,16228,-354890,-387314
2024-06-11,165240,5869,12082,29998,25849,183191,153193
2024-06-12,198767,11370,-579,36291,-8800,209558,173267
2024-06-13,297289,11077,12426,7291,-22806,320792,313501
2024-06-14,65144,6848,13209,7576,-48242,85201,77625
2024-06-15,-46772,13770,-10540,30200,-10840,-43542,-73742
2024-06-16,-61889,3853,-14088,10588,24147,-72124,-82712
2024-06-17,168662,2053,11053,10890,-3378,181768,170878
2024-06-18,-302484,2462,-15593,32325,7789,-315615,-347940
2024-06-19,158973,13713,-2802,27241,38065,169884,142643
2024-06-20,-56345,5890,-14402,39071,24016,-64857,-103928
2024-06-21,-125282,12298,-19689,24613,19128,-132673,-157286
2024-06-22,-290739,3855,10174,38787,33444,-276710,-315497
2024-06-23,-419019,6837,11723,27142,49230,-400459,-427601
2024-06-24,-394935,10053,-18405,7881,-47726,-403287,-411168
2024-06-25,218347,4579,-17574,30099,4006,205352,175253
2024-06-26,-45985,7182,18440,35974,-15886,-20363,-56337
2024-06-27,218793,3610,4502,13616,-19098,226905,213289
2024-06-28,246275,2562,-12691,5037,-31931,236146,231109
2024-06-29,190682,10067,11002,38994,-43621,211751,172757
2024-06-30,-82783,10535,19545,36913,-27677,-52703,-89616
2024-07-01,84034,7110,-8422,26321,210,82722,56401
2024-07-02,-204577,11709,-10485,14888,10468,-203353,-218241
2024-07-03,302837,5777,-12253,11225,-28187,296361,285136
2024-07-04,-84008,6367,-57,6056,-29903,-77698,-83754
2024-07-05,131470,3328,-1663,14585,13123,133135,118550
2024-07-06,-195101,2100,7128,31731,23399,-185873,-217604
2024-07-07,-176014,11718,-2878,23680,-27393,-167174,-190854
2024-07-08,341312,3891,-6511,23780,-18853,338692,314912
2024-07-09,-94394,2133,1917,22132,43933,-90344,-112476
2024-07-10,100637,14094,15595,16938,1902,130326,113388
