Date,Revenue,COGS,Operating_Expenses,Interest_Expense,Taxes,Gross_Profit,Operating_Income,Net_Income,EBITDA
2024-01-23,406553,204622,39610,4772,4144,201931,162321,153405,206703
2024-01-24,315840,250578,112725,5293,4108,65262,-47463,-56864,70555
2024-01-25,359273,53709,140942,7312,9077,305564,164622,148233,312876
2024-01-26,671129,353713,175492,13712,17476,317416,141924,110736,331128
2024-01-27,83783,46292,41287,1789,16748,37491,-3796,-22333,39280
2024-01-28,540550,288842,195757,19940,22835,251708,55951,13176,271648
2024-01-29,207860,134553,45143,11591,26490,73307,28164,-9917,84898
2024-01-30,189304,182140,190722,713,2315,7164,-183558,-186586,7877
2024-01-31,304992,261830,131842,17376,20020,43162,-88680,-126076,60538
2024-02-01,271611,355208,198295,15723,29915,-83597,-281892,-327530,-67874
2024-02-02,561867,237911,138898,17634,27162,323956,185058,140262,341590
2024-02-03,526044,233111,34760,2647,3579,292933,258173,251947,295580
2024-02-04,175732,37446,163474,693,9287,138286,-25188,-35168,138979
2024-02-05,285174,109004,63656,1011,28333,176170,112514,83170,177181
2024-02-06,350960,340115,27783,19678,15762,10845,-16938,-52378,30523
2024-02-07,448327,83434,112309,14011,11257,364893,252584,227316,378904
2024-02-08,597711,265407,60557,6844,17400,332304,271747,247503,339148
2024-02-09,285446,169187,20050,16997,2970,116259,96209,76242,133256
2024-02-10,366200,15008,87255,17953,13893,351192,263937,232091,369145
2024-02-11,384881,176665,56675,11564,16686,208216,151541,123291,219780
2024-02-12,607366,368508,147253,12539,14285,238858,91605,64781,251397
2024-02-13,65562,207715,139139,13201,18130,-142153,-281292,-312623,-128952
2024-02-14,200400,323343,122677,13799,12431,-122943,-245620,-271850,-109144
2024-02-15,242663,226442,5250,10336,26799,16221,10971,-26164,26557
2024-02-16,527129,208380,131890,6738,19678,318749,186859,160443,325487
2024-02-17,585817,320989,9094,16961,5920,264828,255734,232853,281789
2024-02-18,152400,31071,192675,3743,21167,121329,-71346,-96256,125072
2024-02-19,795444,235267,95854,6432,10600,560177,464323,447291,566609
2024-02-20,531509,66626,47014,16737,8707,464883,417869,392425,481620
2024-02-21,529538,156989,176829,6120,22635,372549,195720,166965,378669
2024-02-22,347857,18285,61181,19689,5516,329572,268391,243186,349261
2024-02-23,475068,375733,93095,9790,20900,99335,6240,-24450,109125
2024-02-24,549639,165201,72999,13752,29826,384438,311439,267861,398190
2024-02-25,692075,373972,40677,7234,19448,318103,277426,250744,325337
2024-02-26,229582,316103,170893,3243,27095,-86521,-257414,-287752,-83278
2024-02-27,249379,359462,33040,6952,27268,-110083,-143123,-177343,-103131
2024-02-28,390796,119117,119346,18446,20549,271679,152333,113338,290125
2024-02-29,319504,334587,21004,13300,16423,-15083,-36087,-65810,-1783
2024-03-01,38829,365159,133686,5544,15863,-326330,-460016,-481423,-320786
2024-03-02,236242,285183,76100,7802,9143,-48941,-125041,-141986,-41139
2024-03-03,360862,65536,140962,3554,15450,295326,154364,135360,298880
2024-03-04,87612,269188,92121,15293,9214,-181576,-273697,-298204,-166283
2024-03-05,710838,30388,10907,13341,2006,680450,669543,654196,693791
2024-03-06,325490,119826,153329,19022,20871,205664,52335,12442,224686
2024-03-07,718595,282510,25871,3634,9319,436085,410214,397261,439719
2024-03-08,738767,211512,94938,2617,23678,527255,432317,406022,529872
2024-03-09,420377,291158,23675,10027,15496,129219,105544,80021,139246
2024-03-10,670558,86284,114941,2377,28680,584274,469333,438276,586651
2024-03-11,229892,136568,67795,10011,22046,93324,25529,-6528,103335
2024-03-12,162023,46686,172988,19173,24561,115337,-57651,-101385,134510
2024-03-13,735422,320362,74475,5861,29370,415060,340585,305354,420921
2024-03-14,34759,370453,142422,3170,9445,-335694,-478116,-490731,-332524
2024-03-15,117816,86091,20089,10568,12752,31725,11636,-11684,42293
2024-03-16,327951,147402,51589,12868,12333,180549,128960,103759,193417
2024-03-17,411204,260597,55549,13020,2871,150607,95058,79167,163627
2024-03-18,544159,304366,172906,15131,20723,239793,66887,31033,254924
2024-03-19,387684,114377,11860,16906,12863,273307,261447,231678,290213
2024-03-20,666873,274876,14289,10439,11321,391997,377708,355948,402436
2024-03-21,376081,323399,15265,7109,29005,52682,37417,1303,59791
2024-03-22,97448,257136,158892,9054,3913,-159688,-318580,-331547,-150634
2024-03-23,173489,297775,65203,783,18908,-124286,-189489,-209180,-123503
2024-03-24,139516,37122,157989,13969,10949,102394,-55595,-80513,116363
2024-03-25,435768,167780,48420,10413,26950,267988,219568,182205,278401
2024-03-26,182159,303006,192397,17992,13862,-120847,-313244,-345098,-102855
2024-03-27,511049,222788,184571,5248,15141,288261,103690,83301,293509
2024-03-28,479982,210593,176946,15126,20318,269389,92443,56999,284515
2024-03-29,356792,140861,145949,10447,23915,215931,69982,35620,226378
2024-03-30,742744,176199,72953,8806,23315,566545,493592,461471,575351
2024-03-31,498335,89581,93959,5696,18472,408754,314795,290627,414450
2024-04-01,248797,311662,128232,2025,29878,-62865,-191097,-223000,-60840
2024-04-02,391914,72021,23453,8671,9299,319893,296440,278470,328564
2024-04-03,497452,271415,195940,12020,14884,226037,30097,3193,238057
2024-04-04,82940,78513,172339,16192,18592,4427,-167912,-202696,20619
2024-04-05,607997,230252,126295,946,5607,377745,251450,244897,378691
2024-04-06,91951,227600,21668,12217,29420,-135649,-157317,-198954,-123432
2024-04-07,440272,218406,68627,10247,9069,221866,153239,133923,232113
2024-04-08,636368,363799,131733,12922,6507,272569,140836,121407,285491
2024-04-09,277825,59500,175117,14036,9619,218325,43208,19553,232361
2024-04-10,532521,181522,192062,8590,27134,350999,158937,123213,359589
2024-04-11,458885,200101,99369,5067,29600,258784,159415,124748,263851
2024-04-12,447823,154154,118375,2192,29855,293669,175294,143247,295861
2024-04-13,149872,121531,158470,1638,18358,28341,-130129,-150125,29979
2024-04-14,246512,242742,192248,8531,16748,3770,-188478,-213757,12301
2024-04-15,299672,328900,158436,5504,17804,-29228,-187664,-210972,-23724
2024-04-16,95039,115129,109677,8093,25581,-20090,-129767,-163441,-11997
2024-04-17,403175,154783,146547,14672,8389,248392,101845,78784,263064
2024-04-18,617073,52246,124935,1127,17476,564827,439892,421289,565954
2024-04-19,581201,381075,122758,15250,20331,200126,77368,41787,215376
2024-04-20,390025,340855,81922,18397,966,49170,-32752,-52115,67567
2024-04-21,755294,207544,148065,9575,26660,547750,399685,363450,557325
2024-04-22,331985,394235,143066,2186,18581,-62250,-205316,-226083,-60064
2024-04-23,488357,310527,29637,546,16353,177830,148193,131294,178376
2024-04-24,500959,80577,27640,6380,4387,420382,392742,381975,426762
2024-04-25,361269,390970,34568,7512,21078,-29701,-64269,-92859,-22189
2024-04-26,476354,123404,138589,9712,17896,352950,214361,186753,362662
2024-04-27,28132,11743,25174,9979,29612,16389,-8785,-48376,26368
2024-04-28,46037,111242,82545,815,1017,-65205,-147750,-149582,-64390
2024-04-29,258589,87020,8490,12889,2675,171569,163079,147515,184458
2024-04-30,252369,303891,12142,9918,23734,-51522,-63664,-97316,-41604
2024-05-01,686838,87085,64359,9245,20022,599753,535394,506127,608998
2024-05-02,382439,277482,110721,12858,1009,104957,-5764,-19631,117815
2024-05-03,58090,310180,42539,7954,19707,-252090,-294629,-322290,-244136
2024-05-04,96754,127289,59400,5318,20388,-30535,-89935,-115641,-25217
2024-05-05,38884,308983,126706,16030,19942,-270099,-396805,-432777,-254069
2024-05-06,592996,52995,33350,13803,12156,540001,506651,480692,553804
2024-05-07,237954,151057,162421,16598,14983,86897,-75524,-107105,103495
2024-05-08,307230,145998,34386,550,21441,161232,126846,104855,161782
2024-05-09,435001,284694,87781,15573,14084,150307,62526,32869,165880
2024-05-10,754901,241918,18279,586,28970,512983,494704,465148,513569
2024-05-11,430738,386552,151777,3938,6099,44186,-107591,-117628,48124
2024-05-12,618868,269036,64012,5642,1834,349832,285820,278344,355474
2024-05-13,33349,164606,31242,2381,17687,-131257,-162499,-182567,-128876
2024-05-14,541185,224391,92788,15971,14104,316794,224006,193931,332765
2024-05-15,374017,271083,124083,17956,24542,102934,-21149,-63647,120890
2024-05-16,673864,196821,63433,5377,10031,477043,413610,398202,482420
2024-05-17,678325,217751,188659,3387,16470,460574,271915,252058,463961
2024-05-18,639188,155716,97335,15351,25661,483472,386137,345125,498823
2024-05-19,171539,397049,184311,5310,582,-225510,-409821,-415713,-220200
2024-05-20,531553,357153,62016,2290,10378,174400,112384,99716,176690
2024-05-21,111643,384406,72607,6446,26191,-272763,-345370,-378007,-266317
2024-05-22,295984,191144,159139,18881,21606,104840,-54299,-94786,123721
2024-05-23,792230,115883,14871,17706,2824,676347,661476,640946,694053
2024-05-24,350864,48173,135538,18354,3313,302691,167153,145486,321045
2024-05-25,523444,207012,91932,8008,4427,316432,224500,212065,324440
2024-05-26,375730,155846,60649,15583,3729,219884,159235,139923,235467
2024-05-27,549369,113249,193524,14291,17078,436120,242596,211227,450411
2024-05-28,592963,148670,126121,4897,16261,444293,318172,297014,449190
2024-05-29,560974,183049,60187,16777,11159,377925,317738,289802,394702
2024-05-30,739822,304769,136290,16594,25249,435053,298763,256920,451647
2024-05-31,144694,234452,156033,5259,14605,-89758,-245791,-265655,-84499
2024-06-01,387306,222081,72742,4572,7530,165225,92483,80381,169797
2024-06-02,775540,69337,174464,1364,14971,706203,531739,515404,707567
2024-06-03,774737,76588,139315,13103,27157,698149,558834,518574,711252
2024-06-04,641271,293257,130578,8428,6518,348014,217436,202490,356442
2024-06-05,80122,316382,22430,16915,11792,-236260,-258690,-287397,-219345
2024-06-06,514995,137629,130201,13582,16988,377366,247165,216595,390948
2024-06-07,544046,99660,167478,2920,2573,444386,276908,271415,447306
2024-06-08,137728,371302,149451,15045,5014,-233574,-383025,-403084,-218529
2024-06-09,90482,198487,152863,16257,12039,-108005,-260868,-289164,-91748
2024-06-10,54219,222622,163625,8445,8006,-168403,-332028,-348479,-159958
2024-06-11,639843,394883,58211,19487,2022,244960,186749,165240,264447
2024-06-12,548038,212267,115607,12555,8842,335771,220164,198767,348326
2024-06-13,382995,21639,52276,11053,738,361356,309080,297289,372409
2024-06-14,402424,132107,188670,2266,14237,270317,81647,65144,272583
2024-06-15,33576,43491,20739,8822,7296,-9915,-30654,-46772,-1093
2024-06-16,142805,155531,15077,4665,29421,-12726,-27803,-61889,-8061
2024-06-17,427985,119199,127798,5971,6355,308786,180988,168662,314757
2024-06-18,114474,227090,143838,17546,28484,-112616,-256454,-302484,-95070
2024-06-19,582950,289346,120819,4206,9606,293604,172785,158973,297810
2024-06-20,257150,87048,198744,16883,10820,170102,-28642,-56345,186985
2024-06-21,129034,95533,140854,7063,10866,33501,-107353,-125282,40564
2024-06-22,71227,244905,90845,5183,21033,-173678,-264523,-290739,-168495
2024-06-23,123318,383382,120860,10416,27679,-260064,-380924,-419019,-249648
2024-06-24,155841,363315,158310,2885,26266,-207474,-365784,-394935,-204589
2024-06-25,386480,88696,50161,14752,14524,297784,247623,218347,312536
2024-06-26,444798,318696,146090,9396,16601,126102,-19988,-45985,135498
2024-06-27,359720,25451,105883,2916,6677,334269,228386,218793,337185
2024-06-28,585250,315038,16326,2072,5539,270212,253886,246275,272284
2024-06-29,366401,132450,17406,10745,15118,233951,216545,190682,244696
2024-06-30,82903,106399,26687,14216,18384,-23496,-50183,-82783,-9280
2024-07-01,275446,122352,46051,13837,9172,153094,107043,84034,166931
2024-07-02,240649,260690,143708,19579,21249,-20041,-163749,-204577,-462
2024-07-03,421319,72826,14463,9747,21446,348493,334030,302837,358240
2024-07-04,188699,199620,36838,19719,16530,-10921,-47759,-84008,8798
2024-07-05,590705,295884,127553,7357,28441,294821,167268,131470,302178
2024-07-06,298086,371258,108298,3051,10580,-73172,-181470,-195101,-70121
2024-07-07,201136,304692,31395,15395,25668,-103556,-134951,-176014,-88161
2024-07-08,439685,29450,37315,16265,15343,410235,372920,341312,426500
2024-07-09,209859,144063,125701,5650,28839,65796,-59905,-94394,71446
2024-07-10,432144,170506,122531,9571,28899,261638,139107,100637,271209
2024-07-11,459298,325322,51139,15500,15922,133976,82837,51415,149476
2024-07-12,348340,66478,44746,18108,524,281862,237116,218484,299970
2024-07-13,202088,248967,8754,9642,27137,-46879,-55633,-92412,-37237
2024-07-14,793851,307810,163241,15604,15182,486041,322800,292014,501645
2024-07-15,208543,68928,55160,10498,27738,139615,84455,46219,150113
2024-07-16,768195,392783,62222,13268,2602,375412,313190,297320,388680
2024-07-17,731971,113460,90774,7481,4452,618511,527737,515804,625992
2024-07-18,619310,355071,29144,11538,22864,264239,235095,200693,275777
2024-07-19,100618,295564,188715,13630,16233,-194946,-383661,-413524,-181316
2024-07-20,452690,229853,154983,16947,4711,222837,67854,46196,239784
2024-07-21,616553,302224,153895,2454,1745,314329,160434,156235,316783
2024-07-22,212447,292158,26733,1971,15050,-79711,-106444,-123465,-77740
2024-07-23,259115,261755,178568,5612,14614,-2640,-181208,-201434,2972
2024-07-24,284305,113041,47962,10400,23101,171264,123302,89801,181664
2024-07-25,772804,23223,149857,15593,7212,749581,599724,576919,765174
2024-07-26,712386,263788,11435,8175,21496,448598,437163,407492,456773
2024-07-27,649397,341277,48757,14674,14574,308120,259363,230115,322794
2024-07-28,451235,333727,148657,6667,23591,117508,-31149,-61407,124175
2024-07-29,215240,123860,150805,7105,9369,91380,-59425,-75899,98485
2024-07-30,209984,381359,39771,7147,10839,-171375,-211146,-229132,-164228
2024-07-31,331152,369805,69881,18740,1294,-38653,-108534,-128568,-19913
2024-08-01,753787,229981,37400,14215,11501,523806,486406,460690,538021
2024-08-02,450455,294489,36488,12358,2854,155966,119478,104266,168324
2024-08-03,169319,140702,29562,4164,4439,28617,-945,-9548,32781
2024-08-04,283632,297110,65097,7309,1036,-13478,-78575,-86920,-6169
2024-08-05,501167,217890,183225,2632,14716,283277,100052,82704,285909
2024-08-06,675240,395902,77817,12503,27122,279338,201521,161896,291841
2024-08-07,132943,205738,83399,2233,636,-72795,-156194,-159063,-70562
2024-08-08,375318,301177,19949,7561,23251,74141,54192,23380,81702
2024-08-09,595366,302656,56746,17557,18214,292710,235964,200193,310267
2024-08-10,99842,308952,171775,13276,3508,-209110,-380885,-397669,-195834
2024-08-11,721724,270951,128840,14061,25495,450773,321933,282377,464834
2024-08-12,391457,224578,129934,2701,18949,166879,36945,15295,169580
2024-08-13,105491,385979,80512,14571,15157,-280488,-361000,-390728,-265917
2024-08-14,611125,164432,86636,17557,7905,446693,360057,334595,464250
2024-08-15,569846,95940,151385,15407,28790,473906,322521,278324,489313
2024-08-16,604657,296756,95104,6063,24744,307901,212797,181990,313964
2024-08-17,176037,15281,132130,8623,23599,160756,28626,-3596,169379
2024-08-18,660318,81190,120879,1140,17331,579128,458249,439778,580268
2024-08-19,658909,19546,158902,12115,29288,639363,480461,439058,651478
2024-08-20,260423,83343,39698,4011,23233,177080,137382,110138,181091
2024-08-21,47876,308795,10857,15296,25688,-260919,-271776,-312760,-245623
2024-08-22,247776,389031,45007,5486,21429,-141255,-186262,-213177,-135769
2024-08-23,138972,143491,102944,5578,13643,-4519,-107463,-126684,1059
2024-08-24,676402,216039,71340,12752,891,460363,389023,375380,473115
2024-08-25,335957,120556,54033,18569,910,215401,161368,141889,233970
2024-08-26,202132,127551,84492,17080,6927,74581,-9911,-33918,91661
2024-08-27,168388,308397,135963,4000,26730,-140009,-275972,-306702,-136009
2024-08-28,518227,247952,77516,12394,21339,270275,192759,159026,282669
2024-08-29,233771,289030,22519,2529,23627,-55259,-77778,-103934,-52730
2024-08-30,480647,330852,172683,12775,15822,149795,-22888,-51485,162570
2024-08-31,727656,249701,39627,13106,12262,477955,438328,412960,491061
2024-09-01,559122,148098,63771,19292,28084,411024,347253,299877,430316
2024-09-02,530917,348335,119228,12412,23739,182582,63354,27203,194994
2024-09-03,207172,321785,88954,13505,20146,-114613,-203567,-237218,-101108
2024-09-04,445163,210015,31301,5500,3607,235148,203847,194740,240648
2024-09-05,305159,395984,178434,7952,2915,-90825,-269259,-280126,-82873
2024-09-06,86764,305910,103691,819,11369,-219146,-322837,-335025,-218327
2024-09-07,45795,349088,119591,6054,3734,-303293,-422884,-432672,-297239
2024-09-08,546332,357169,47750,11308,7340,189163,141413,122765,200471
2024-09-09,309916,299247,39182,9848,8089,10669,-28513,-46450,20517
2024-09-10,738163,277760,143348,8019,21474,460403,317055,287562,468422
2024-09-11,287607,70174,14917,11569,27110,217433,202516,163837,229002
2024-09-12,189607,327767,134706,3203,10799,-138160,-272866,-286868,-134957
2024-09-13,583256,244775,196895,11187,8859,338481,141586,121540,349668
2024-09-14,695938,97718,72224,15552,26203,598220,525996,484241,613772
2024-09-15,357287,47067,170733,6065,18487,310220,139487,114935,316285
2024-09-16,262718,363856,198814,9641,25429,-101138,-299952,-335022,-91497
2024-09-17,352246,375878,172248,2410,2300,-23632,-195880,-200590,-21222
2024-09-18,147053,13585,114582,1814,18681,133468,18886,-1609,135282
2024-09-19,365703,398606,149274,14024,19760,-32903,-182177,-215961,-18879
2024-09-20,764356,220624,144162,6239,6256,543732,399570,387075,549971
2024-09-21,681892,366953,140859,14230,27100,314939,174080,132750,329169
2024-09-22,766922,186001,72817,3362,8500,580921,508104,496242,584283
2024-09-23,117346,130287,66018,1856,11088,-12941,-78959,-91903,-11085
2024-09-24,766723,229727,173919,19414,1753,536996,363077,341910,556410
2024-09-25,490407,386944,47187,8216,4313,103463,56276,43747,111679
2024-09-26,115715,360048,44272,18196,19640,-244333,-288605,-326441,-226137
2024-09-27,123770,187643,21840,19617,24845,-63873,-85713,-130175,-44256
2024-09-28,561281,290139,95437,8094,18039,271142,175705,149572,279236
2024-09-29,156523,362390,159380,761,18824,-205867,-365247,-384832,-205106
2024-09-30,346283,170183,12278,17156,16286,176100,163822,130380,193256
2024-10-01,187263,163525,6654,16622,10890,23738,17084,-10428,40360
2024-10-02,494496,379651,192154,16005,27870,114845,-77309,-121184,130850
2024-10-03,198282,158040,57956,7898,25981,40242,-17714,-51593,48140
2024-10-04,539896,380140,192927,17003,20190,159756,-33171,-70364,176759
2024-10-05,496448,207361,181804,4903,22511,289087,107283,79869,293990
2024-10-06,22849,309132,85477,17362,27774,-286283,-371760,-416896,-268921
2024-10-07,436586,274847,188065,16658,17139,161739,-26326,-60123,178397
2024-10-08,32049,172702,163409,19859,20998,-140653,-304062,-344919,-120794
2024-10-09,459185,375979,95167,3083,28878,83206,-11961,-43922,86289
2024-10-10,323384,313484,175410,17217,28012,9900,-165510,-210739,27117
2024-10-11,258016,145951,79258,8547,23847,112065,32807,413,120612
2024-10-12,178845,216104,117519,17684,14858,-37259,-154778,-187320,-19575
2024-10-13,346462,193170,86648,4771,3648,153292,66644,58225,158063
2024-10-14,281245,328464,40519,824,16462,-47219,-87738,-105024,-46395
2024-10-15,355387,393762,195148,3356,25857,-38375,-233523,-262736,-35019
2024-10-16,453393,166569,133145,15965,11554,286824,153679,126160,302789
2024-10-17,576178,331171,139846,2271,5033,245007,105161,97857,247278
2024-10-18,271472,341799,186144,11667,28912,-70327,-256471,-297050,-58660
2024-10-19,328721,312330,125788,17301,23891,16391,-109397,-150589,33692
2024-10-20,369195,211631,113369,6125,13912,157564,44195,24158,163689
2024-10-21,361010,303458,20251,4455,28390,57552,37301,4456,62007
2024-10-22,245651,232218,145209,5961,27726,13433,-131776,-165463,19394
2024-10-23,458230,64756,37103,11294,2945,393474,356371,342132,404768
2024-10-24,497308,24564,69299,18291,23670,472744,403445,361484,491035
2024-10-25,509067,104854,155536,6401,18234,404213,248677,224042,410614
2024-10-26,710121,140082,96251,12768,10249,570039,473788,450771,582807
2024-10-27,269436,182853,175696,16556,12570,86583,-89113,-118239,103139
2024-10-28,196176,381860,190319,6516,8467,-185684,-376003,-390986,-179168
2024-10-29,346027,329049,26509,12571,12932,16978,-9531,-35034,29549
2024-10-30,745323,392108,174879,7304,29806,353215,178336,141226,360519
2024-10-31,262132,97716,63233,19743,26068,164416,101183,55372,184159
2024-11-01,32305,384832,29194,14560,15750,-352527,-381721,-412031,-337967
2024-11-02,703538,98178,176266,13291,22525,605360,429094,393278,618651
2024-11-03,303112,62241,79737,19413,22313,240871,161134,119408,260284
2024-11-04,156043,264100,185394,13100,8284,-108057,-293451,-314835,-94957
2024-11-05,131684,23333,17304,11806,28213,108351,91047,51028,120157
2024-11-06,676623,158807,144188,19296,28639,517816,373628,325693,537112
2024-11-07,382827,86795,131789,3095,15244,296032,164243,145904,299127
2024-11-08,306148,31739,116949,13635,27530,274409,157460,116295,288044
2024-11-09,42797,354427,18088,8585,9182,-311630,-329718,-347485,-303045
2024-11-10,642805,187417,80617,11312,14681,455388,374771,348778,466700
2024-11-11,659707,109815,99292,6438,4350,549892,450600,439812,556330
2024-11-12,612972,267936,108061,12209,2493,345036,236975,222273,357245
2024-11-13,73415,111099,181680,19922,8832,-37684,-219364,-248118,-17762
2024-11-14,565439,196694,21960,15007,5782,368745,346785,325996,383752
2024-11-15,96714,234911,171735,4389,14996,-138197,-309932,-329317,-133808
2024-11-16,718340,189707,52190,15243,14912,528633,476443,446288,543876
2024-11-17,370305,58903,90034,2109,6911,311402,221368,212348,313511
2024-11-18,155945,187924,49792,4253,17736,-31979,-81771,-103760,-27726
2024-11-19,555280,106895,165133,12685,10754,448385,283252,259813,461070
2024-11-20,649011,165728,184328,1599,5410,483283,298955,291946,484882
2024-11-21,437885,304669,179371,9046,8767,133216,-46155,-63968,142262
2024-11-22,775978,211152,188656,10123,24315,564826,376170,341732,574949
2024-11-23,757028,377006,168527,9955,22386,380022,211495,179154,389977
2024-11-24,563147,171722,42233,15770,1597,391425,349192,331825,407195
2024-11-25,524427,330316,114570,7191,17953,194111,79541,54397,201302
2024-11-26,564126,396297,119611,17209,6374,167829,48218,24635,185038
2024-11-27,291062,340358,152592,11859,22149,-49296,-201888,-235896,-37437
2024-11-28,783240,242158,50437,927,5247,541082,490645,484471,542009
2024-11-29,41385,104512,76935,15818,10997,-63127,-140062,-166877,-47309
2024-11-30,91026,228300,96852,5481,8613,-137274,-234126,-248220,-131793
2024-12-01,436386,195965,179886,6319,12447,240421,60535,41769,246740
2024-12-02,597742,98697,7894,1571,12916,499045,491151,476664,500616
2024-12-03,508836,375797,108246,5408,12276,133039,24793,7109,138447
2024-12-04,395679,336686,197914,7102,26749,58993,-138921,-172772,66095
2024-12-05,614048,381806,192928,13254,17088,232242,39314,8972,245496
2024-12-06,726872,37987,40695,753,11434,688885,648190,636003,689638
2024-12-07,173668,210802,23992,12333,25951,-37134,-61126,-99410,-24801
2024-12-08,56056,101897,12905,12852,9788,-45841,-58746,-81386,-32989
2024-12-09,135400,77010,6088,2343,23690,58390,52302,26269,60733
2024-12-10,254095,15838,103929,17414,12284,238257,134328,104630,255671
2024-12-11,137476,28911,129060,13398,15458,108565,-20495,-49351,121963
2024-12-12,289166,134621,26794,10982,25756,154545,127751,91013,165527
2024-12-13,682165,310698,38111,17448,29561,371467,333356,286347,388915
2024-12-14,238954,337263,99988,17841,13472,-98309,-198297,-229610,-80468
2024-12-15,449927,310914,132288,10754,22240,139013,6725,-26269,149767
2024-12-16,459600,95483,35767,7933,10104,364117,328350,310313,372050
2024-12-17,253697,141320,65506,17494,25911,112377,46871,3466,129871
2024-12-18,786940,182975,179721,9738,3326,603965,424244,411180,613703
2024-12-19,204748,261435,179060,14191,18475,-56687,-235747,-268413,-42496
2024-12-20,264623,112708,111855,12147,17536,151915,40060,10377,164062
2024-12-21,757114,252634,153021,19996,2734,504480,351459,328729,524476
2024-12-22,50570,136498,188739,8973,11400,-85928,-274667,-295040,-76955
2024-12-23,752100,233898,185319,10348,28391,518202,332883,294144,528550
2024-12-24,226901,255815,191242,6225,772,-28914,-220156,-227153,-22689
2024-12-25,236602,165647,152057,15392,6565,70955,-81102,-103059,86347
2024-12-26,634734,129998,158339,3161,3749,504736,346397,339487,507897
2024-12-27,343357,234408,127820,5148,14254,108949,-18871,-38273,114097
2024-12-28,232038,199017,45525,9247,4875,33021,-12504,-26626,42268
2024-12-29,233446,248152,60406,16220,14959,-14706,-75112,-106291,1514
2024-12-30,377506,39814,144846,3383,18900,337692,192846,170563,341075
2024-12-31,743856,200105,174877,7571,2551,543751,368874,358752,551322
2025-01-01,43789,386483,5897,11790,27686,-342694,-348591,-388067,-330904
2025-01-02,200704,92319,141598,18735,29608,108385,-33213,-81556,127120
2025-01-03,215253,12912,48489,14013,5464,202341,153852,134375,216354
2025-01-04,758782,304407,16990,17780,6079,454375,437385,413526,472155
2025-01-05,306246,188317,58269,3922,20891,117929,59660,34847,121851
2025-01-06,254273,218884,93524,18630,2302,35389,-58135,-79067,54019
2025-01-07,650959,202449,150718,15656,1705,448510,297792,280431,464166
2025-01-08,139345,241463,11035,9114,683,-102118,-113153,-122950,-93004
2025-01-09,214988,296774,149707,6448,1629,-81786,-231493,-239570,-75338
2025-01-10,270077,233071,138608,4572,20843,37006,-101602,-127017,41578
2025-01-11,596446,180995,84812,17692,2309,415451,330639,310638,433143
2025-01-12,184904,39708,83160,4854,20312,145196,62036,36870,150050
2025-01-13,637258,29755,176247,15955,15488,607503,431256,399813,623458
2025-01-14,309364,386486,22703,13584,5927,-77122,-99825,-119336,-63538
2025-01-15,721886,391054,148103,5213,17733,330832,182729,159783,336045
2025-01-16,663281,41591,115635,14506,10344,621690,506055,481205,636196
2025-01-17,555152,114879,188015,6257,27129,440273,252258,218872,446530
2025-01-18,288027,146056,128771,11642,5863,141971,13200,-4305,153613
2025-01-19,138735,69727,194236,766,12885,69008,-125228,-138879,69774
2025-01-20,693852,319858,85172,911,16048,373994,288822,271863,374905
2025-01-21,381283,131183,39230,2305,12874,250100,210870,195691,252405
2025-01-22,20067,78899,64682,4061,21620,-58832,-123514,-149195,-54771
2025-01-23,153893,79281,189173,19141,14443,74612,-114561,-148145,93753
2025-01-24,219634,219411,38458,8414,24671,223,-38235,-71320,8637
2025-01-25,98745,340834,120552,5340,12109,-242089,-362641,-380090,-236749
2025-01-26,153348,389681,154439,8252,14389,-236333,-390772,-413413,-228081
2025-01-27,600803,185999,196127,1454,4048,414804,218677,213175,416258
2025-01-28,45503,190902,94583,501,21490,-145399,-239982,-261973,-144898
2025-01-29,567070,139331,126384,2488,3679,427739,301355,295188,430227
2025-01-30,477873,259513,184881,12706,26036,218360,33479,-5263,231066
2025-01-31,319027,237078,6270,16968,17602,81949,75679,41109,98917
2025-02-01,155952,294139,66995,2912,27947,-138187,-205182,-236041,-135275
2025-02-02,228751,152503,98842,5600,6679,76248,-22594,-34873,81848
2025-02-03,112322,305498,54014,15818,9437,-193176,-247190,-272445,-177358
2025-02-04,212896,75742,87962,2461,15515,137154,49192,31216,139615
2025-02-05,184795,139436,104204,19884,25472,45359,-58845,-104201,65243
2025-02-06,124382,233155,172473,4029,21523,-108773,-281246,-306798,-104744
2025-02-07,246519,201532,154081,11309,19764,44987,-109094,-140167,56296
2025-02-08,665508,317951,122227,12886,16904,347557,225330,195540,360443
2025-02-09,201192,313089,196158,16543,5600,-111897,-308055,-330198,-95354
2025-02-10,182133,86215,197042,8032,21227,95918,-101124,-130383,103950
2025-02-11,298256,269591,164456,14253,1154,28665,-135791,-151198,42918
2025-02-12,407742,119989,63179,10967,22053,287753,224574,191554,298720
2025-02-13,771078,110867,65868,16241,17271,660211,594343,560831,676452
2025-02-14,323367,192069,81146,18385,22582,131298,50152,9185,149683
2025-02-15,719528,399451,63512,8131,15521,320077,256565,232913,328208
2025-02-16,401328,224073,70969,2788,16031,177255,106286,87467,180043
2025-02-17,585625,296357,193072,3073,28006,289268,96196,65117,292341
2025-02-18,688351,369342,135585,9173,22793,319009,183424,151458,328182
2025-02-19,279746,265153,6894,13128,2492,14593,7699,-7921,27721
